Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_50,MA_200,MA_diff,crossover,RSI,MA_20,Std_20,Signal,Stop_Loss,Position_Size,Returns,Strategy_Returns,Returns_10
2000-02-14,1387.1199951171875,1394.9300537109375,1380.530029296875,1389.93994140625,927300000,0.0,0.0,,,,0,44.99922821031087,1415.3049926757812,24.505206006033248,0,1320.4429443359375,0.03,0.0020329505010301396,0.0,-0.003241412201043903
2000-02-15,1389.93994140625,1407.719970703125,1376.25,1402.050048828125,1092100000,0.0,0.0,,,,0,49.50736142531768,1412.6504943847656,22.777568194060958,0,1331.9475463867186,0.03,0.008712683952101452,0.0,-0.005130265325875127
2000-02-16,1402.050048828125,1404.550048828125,1385.5799560546875,1387.6700439453125,1018800000,0.0,0.0,,,,0,47.47787903341172,1409.238995361328,20.999084176184883,0,1318.2865417480468,0.03,-0.01025641338184169,-0.0,-0.015222231780261608
2000-02-17,1387.6700439453125,1399.8800048828125,1380.0699462890625,1388.260009765625,1034800000,0.0,0.0,,,,0,57.88970758093295,1406.3734985351562,19.64718754297354,-1,1318.8470092773437,0.03,0.0004251484874857603,0.0,-0.02576191898232505
2000-02-18,1388.260009765625,1388.5899658203125,1345.3199462890625,1346.0899658203125,1042300000,0.0,0.0,,,,0,36.993821977636756,1401.6099975585937,22.11270034496673,-1,1278.7854675292967,0.03,-0.030376185763956398,0.030376185763956398,-0.05495765114768136
2000-02-22,1346.0899658203125,1358.1099853515625,1331.8800048828125,1352.1700439453125,980000000,0.0,0.0,,,,0,33.88636120974991,1399.1419982910156,24.722609538047852,-1,1284.561541748047,0.03,0.0045168438064202565,-0.0045168438064202565,-0.05060238919228954
2000-02-23,1352.1700439453125,1370.1099853515625,1342.43994140625,1360.68994140625,993700000,0.0,0.0,,,,0,36.9509975404374,1396.6749938964845,26.00731705832911,-1,1292.6554443359375,0.03,0.006300906826835595,-0.006300906826835595,-0.05620372259763928
2000-02-24,1360.68994140625,1364.800048828125,1329.8800048828125,1353.4300537109375,1215000000,0.0,0.0,,,,0,29.788683966757233,1394.1419982910156,27.66153702312305,-1,1285.7585510253905,0.03,-0.005335445992795007,0.005335445992795007,-0.041283201818494986
2000-02-25,1353.4300537109375,1362.1400146484375,1329.1500244140625,1333.3599853515625,1065200000,0.0,0.0,,,,0,26.836336883077166,1390.8819946289063,30.779721059698765,-1,1266.6919860839844,0.03,-0.01482903996726348,0.01482903996726348,-0.058913188803232264
2000-02-28,1333.3599853515625,1360.8199462890625,1325.0699462890625,1348.050048828125,1026500000,0.0,0.0,,,,0,31.946367973046307,1390.2764953613282,31.525960465122903,-1,1280.6475463867187,0.03,0.0110173273819143,-0.0110173273819143,-0.02816623394269635
2000-02-29,1348.050048828125,1369.6300048828125,1348.050048828125,1366.4200439453125,1204300000,0.0,0.0,,,,0,32.23220432229094,1388.8744995117188,31.950747066805473,0,1298.0990417480468,0.03,0.013627086867551208,-0.013627086867551208,-0.016921520678901847
2000-03-01,1366.4200439453125,1383.4599609375,1366.4200439453125,1379.18994140625,1274100000,0.0,0.0,,,,0,41.64696542322034,1387.3699951171875,31.646309234240718,0,1310.2304443359374,0.03,0.009345513861218402,0.0,-0.016304772744013096
2000-03-02,1379.18994140625,1386.56005859375,1370.3499755859375,1381.760009765625,1198600000,0.0,0.0,,,,0,40.87243012775097,1386.0019958496093,31.245437452663175,0,1312.6720092773437,0.03,0.001863462226787016,0.0,-0.00425896213979271
2000-03-03,1381.760009765625,1410.8800048828125,1381.760009765625,1409.1700439453125,1150300000,0.0,0.0,,,,0,55.80845108828469,1385.2119995117187,30.396540120512345,0,1338.7115417480468,0.03,0.019837044049593633,0.0,0.015062044597263569
2000-03-06,1409.1700439453125,1409.739990234375,1384.75,1391.280029296875,1029000000,0.0,0.0,,,,0,50.32704194168418,1383.5575012207032,29.022467202965142,1,1321.7160278320312,0.03,-0.012695426449990443,-0.0,0.03357135453351634
2000-03-07,1391.280029296875,1399.2099609375,1349.989990234375,1355.6199951171875,1314100000,0.0,0.0,,,,0,39.837139869149716,1380.1265014648438,27.997906497712894,0,1287.838995361328,0.03,-0.02563109757114057,-0.02563109757114057,0.002551418135110284
2000-03-08,1355.6199951171875,1373.7900390625,1346.6199951171875,1366.699951171875,1203000000,0.0,0.0,,,,0,45.342670386305656,1376.3755004882812,24.060110283552874,0,1298.3649536132812,0.03,0.008173349533495022,0.0,0.004416884098822571
2000-03-09,1366.699951171875,1401.8199462890625,1357.8800048828125,1401.68994140625,1123000000,0.0,0.0,,,,0,52.58735601367783,1375.8744995117188,23.38034038568503,1,1331.6054443359374,0.03,0.025601808359159595,0.0,0.035657467161298806
2000-03-10,1401.68994140625,1413.4599609375,1392.0699462890625,1395.0699462890625,1138800000,0.0,0.0,,,,0,60.93400855876576,1374.7864990234375,21.829008789064677,1,1325.3164489746093,0.03,-0.004722866963392747,-0.004722866963392747,0.04628154558067754
2000-03-13,1395.0699462890625,1398.3900146484375,1364.8399658203125,1383.6199951171875,1016100000,0.0,0.0,,,,0,56.856326849524756,1374.6114990234375,21.738771931725484,1,1314.4389953613281,0.03,-0.008207438775620024,-0.008207438775620024,0.026386220838005237
